詞性 (Part of Speech),單字 (Word),中文解釋 (Meaning),生動例句 (Vivid & Engaging Sentence)
Noun,story,故事,This story has a brave brown bear.
Noun,student,學生,Every student has a unique superpower waiting to be discovered!
Verb,study,學習/研究,"When I study nature, I feel like a detective."
Noun,tape,膠帶,I use tape to fix my torn picture.
Verb,teach,教導,Teaching someone is like planting seeds that grow forests.
Noun,teacher,老師,The teacher is like a wise guide leading us.
Noun,word,單字/詞,Each word helps me read much better.
Verb,write,寫,I write my name in chalk outside.
Noun,write,寫作,My writing about dragons became real in my mind.
=== 14. 地點 ===,,,
Noun,airport,機場,Big airplanes take off from the busy airport.
Noun,bakery,麵包店,The bakery always smells like fresh baked bread.
Noun,bank,銀行,People save their money safely at the bank.
Noun,beach,海灘,I build sandcastles on the sunny beach today.
Noun,bridge,橋,We cross the bridge over the sparkling stream.
Noun,cafe,咖啡廳,The cozy cafe serves hot chocolate with marshmallows.
Noun,cinema,電影院,The cinema shows movies on a giant screen.
Noun,city,城市,The city lights sparkle at night.
Noun,community,社區,Our community works together to help each other.
Noun,country,國家,Our country has many beautiful different landscapes.
Noun,farm,農場,The farm has cows and chickens living there.
Noun,garden,花園,Bees visit our garden for the flowers.
Noun,highway,高速公路,The busy highway has many fast cars going by.
Noun,hospital,醫院,The hospital is where doctors help sick people.
Noun,hotel,飯店,We sleep at a hotel when we travel.
Noun,library,圖書館,The quiet library has thousands of books inside.
Noun,mall,購物中心,The big mall has many different stores inside.
Noun,market,市場,The busy market sells fresh fruits and vegetables.
Noun,museum,博物館,The museum has dinosaur bones and old treasures.
Noun,neighborhood,社區,Our neighborhood is a safe place to play.
Noun,office,辦公室,Dad goes to his office to work every day.
Noun,park,公園,We race leaves at the park today.
Noun,place,地方,My favorite place is where I imagine.
Noun,playground,遊樂場,The playground is full of happy children playing.
Noun,post office,郵局,We mail packages at the busy post office.
Noun,restaurant,餐廳,We eat yummy food at our favorite restaurant.
Noun,road,道路,The road curves like a long snake.
Noun,shop,商店,We shop for groceries every Saturday morning.
Verb,shop,購物,I love to shop for books at the bookstore.
Noun,sidewalk,人行道,I ride my scooter on the smooth sidewalk.
Noun,station,車站,We wait for the train at the station.
Noun,store,商店,We buy apples at the store now.
Noun,street,街道,Kids draw hearts with chalk on the street.
Noun,theater,劇院,We watch exciting plays at the big theater.
Noun,town,鎮,Our town has a tiny warm bakery.
Noun,tunnel,隧道,The train goes through the long dark tunnel.
Noun,village,村莊,The small village has friendly people and animals.
Noun,world,世界,The whole world becomes a playground today.
Noun,zoo,動物園,We see many animals at the zoo.
=== 15. 自然與天氣 ===,,,
Noun,autumn,秋天,Autumn winds blow the colorful leaves around fast.
Noun,branch,樹枝,The bird sits on a strong branch.
Noun,cloud,雲,A cloud covers the sun right now.
Adjective,cloudy,多雲的,On cloudy days I imagine shapes in the sky.
Verb,fall,跌倒,I fall on the grass and giggle loudly.
Noun,fall,秋天,In fall the leaves turn red and gold.
Noun,flower,花,A flower opens in the warm sun.
Noun,grass,草地,The grass tickles my bare feet softly.
Noun,ice,冰,The ice melts in my warm hand.
Noun,leaf,葉子,A leaf lands on my head today.
Noun,moon,月亮,The moon follows our car back home.
Noun,nest,巢,Baby birds sleep safe in their cozy nest.
Noun,plant,植物,My plant needs water and bright light.
Noun,rain,雨,Rain taps on the roof all night.
Noun,rainbow,彩虹,The rainbow is a bridge to the clouds.
Adjective,rainy,下雨的,On rainy days we splash in all puddles.
Noun,season,季節,Summer is my favorite season of the year.
Noun,seed,種子,I plant a seed in the soil.
Noun,shadow,影子,Your shadow is like a dark twin that dances with you.
Noun,sky,天空,The sky is a giant blue blanket.
Noun,snow,雪,Snow falls on my cold red nose.
Adjective,snowy,下雪的,The snowy morning looks like a white blanket.
Noun,spring,春天,Spring brings flowers and baby birds singing everywhere.
Noun,star,星星,A star winks in the dark sky.
Noun,stick,棍子,This stick is my magic wand today.
Verb,stick,黏貼,I stick the sticker on my notebook cover.
Noun,summer,夏天,Summer is warm and good for swimming.
Noun,sun,太陽,The sun paints the morning bright gold.
Adjective,sunny,晴朗的,The sunny day is perfect for playing outside.
Noun,sunshine,陽光,Sunshine pours down like liquid gold making everything glow!
Noun,tree,樹,We read stories under the tall tree.
Noun,weather,天氣,The weather today is sunny and nice.
Noun,wind,風,The wind pushes my kite up high.
Adjective,windy,有風的,The windy day makes my kite dance high.
Noun,winter,冬天,Winter snow makes the world look like magic.
Noun,wood,木頭,The table is made of brown wood.
=== 16. 地形與自然環境 ===,,,
Noun,air,空氣,Air is invisible magic that keeps us alive.
Noun,cave,洞穴,We explore the dark cave with our flashlight.
Noun,desert,沙漠,The hot desert has sand everywhere you look.
Noun,dirt,泥土/灰塵,Dirt makes my knees turn all brown.
Noun,earth,地球/泥土,Our beautiful blue earth spins through space like marble.
Noun,fire,火,Fire dances and flickers like an orange playful dragon.
Noun,forest,森林,The forest is full of tall trees.
Noun,ground,地面,I sit on the ground to draw.
Noun,hill,小山丘,The gentle hill is perfect for racing down laughing!
Noun,island,島嶼,The tiny island is surrounded by blue water.
Noun,jungle,叢林,In the jungle many animals live in trees.
Noun,lake,湖,The calm lake reflects the mountains like a mirror.
Noun,mountain,山,The mighty mountain touches the clouds like a giant.
Noun,mud,泥巴,Mud squishes fast between my bare toes.
Noun,ocean,海洋,The vast ocean is home to whales and fish.
Noun,pond,池塘,Frogs live in the small pond by the house.
Noun,pool,水池/泳池,The pool is a water playground with no swings.
Noun,pool,游泳池,We swim in the cool pool in summer.
Noun,river,河流,Rivers are roads that fish use to travel far.
Noun,rock,石頭,I skip a rock across the water.
Noun,sand,沙子,Sand hides shells near the big waves.
Noun,sea,海,The sea is where the sky goes to look.
Noun,shell,貝殼,I collect pretty shells by the bright sea.
Noun,smoke,煙,Smoke swirls up to the sky like gray ribbons.
Noun,stream,小溪,The babbling stream flows over smooth stones.
Noun,valley,山谷,The green valley is nestled between tall mountains.
Noun,waterfall,瀑布,The waterfall crashes down making rainbows in mist.
Verb,wave,揮手,I wave hello to the yellow bus.
Noun,wave,波浪,Ocean waves crash loudly on the sandy shore.
=== 17. 材質 ===,,,
Noun,cloth,布料,The cloth dries fast in the warm sun.
Noun,glass,玻璃,The glass is clear and very hard.
Noun,metal,金屬,The bell is metal and rings loudly.
Noun,plastic,塑膠,Plastic blocks snap together so fast.
Noun,rope,粗繩,The thick rope is strong enough to help climb!
Noun,string,細繩/線,The string connects earth to sky when it holds.
=== 18. 基本動作 ===,,,
Verb,begin,開始,We begin our day with a happy song.
Verb,climb,爬,I climb the tree like a little monkey.
Verb,come,來,Please come play with me right now.
Verb,continue,繼續,We continue reading where we left off yesterday.
Noun,end,結束/盡頭,The end of the story makes me smile.
Verb,finish,完成,I finish my drawing with bright stars.
Verb,go,去,Let's go find the secret magic door.
Verb,jump,跳,I jump over puddles like a frog.
Noun,jump,跳躍,One big jump makes me laugh loudly.
Verb,leave,離開,We leave footprints on the wet sand.
Verb,lie,躺,I lie on my back making pictures from clouds.
Noun,lie,謊言,A lie hurts more than the truth does.
Verb,lie,說謊,I never lie because honesty is always important.
Verb,move,移動,Watch how the sunflower moves following the sun.
Verb,pause,暫停,Let's pause the game for a snack break.
Verb,run,跑,I run like the wind at playtime.
Noun,run,跑步,Our run around the park was fun.
Verb,sit,坐,We sit together and share our snacks.
Verb,skip,跳躍,I skip to school with a big smile.
Verb,slip,滑倒,Be careful not to slip on the wet floor.
Verb,stand,站,I stand tall like a big tree.
Verb,start,開始,We start the game at ten today.
Verb,stay,待/保持,I stay in bed when I'm sick.
Verb,stay,停留,Stay a little longer—the fun hasn't ended yet.
Verb,stop,停止,Cars stop at the red light now.
Noun,stop,停止點,The bus stop is where trips begin.
Noun,trip,旅行,We go on a trip to the beach.
Verb,trip,絆倒,I trip over the rock on the path.
Verb,walk,走路/散步,We walk to school holding hands tight.
=== 19. 手部動作 ===,,,
Verb,bring,帶來,Please bring your teddy to class today.
Verb,carry,搬/攜帶,I carry my backpack all by myself.
Verb,carry,搬運,I carry my dreams in my pocket wherever I go.
Verb,catch,接住,I catch the ball with both hands.
Verb,clap,拍手,I clap my hands when I'm happy today.
Verb,close,關閉,I close the book when I finish.
Verb,drop,掉落,I drop the ball by accident.
Verb,fold,摺疊,I fold the paper into a tiny boat.
Verb,give,給予,I give my friend a yummy cookie.
Verb,grab,抓住,Grab the rope before you fall down!
Verb,hold,握住/拿著,I hold the rope tight with my hands.
Verb,kick,踢,I kick the ball hard toward you.
Verb,lift,舉起,I lift the heavy box with my arms.
Verb,open,打開,I open the box to see inside.
Verb,pick,撿/採,I pick flowers for Mom in the garden.
Verb,point,指向,I point out all the fun that others miss.
Verb,pull,拉,We pull the wagon up the hill.
Verb,push,推,I push the swing up to the sky.
Verb,put,放置,I put my toys in the big box.
Verb,shake,搖動,I shake the tree and apples fall down.
Verb,squeeze,擠,I squeeze the lemon to make fresh juice.
Verb,take,拿走/取,I take a good book to school.
Verb,throw,拋/丟,I throw the ball high to dad.
Verb,throw,丟擲,I throw my ball to the sky hoping to catch it.
Verb,touch,觸摸,Touch the bark and feel the tree's story.
=== 2. 家庭 ===,,,
Noun,baby,嬰兒,The baby claps when bubbles pop in the air.
Noun,boy,男孩,The boy kicks the ball very hard.
Noun,brother,兄弟,My brother makes a silly dancing robot.
Noun,child,小孩,Every child can learn through fun play.
Noun,children,孩子們,All the children play in the park.
Noun,family,家庭,My family always loves me very much.
Noun,father,父親,My father tells funny bear stories at night.
Noun,friend,朋友,My friend shares cookies with me at lunch.
Noun,girl,女孩,The girl skips with a jump rope.
Noun,man,男人,The man sells sweet red apples today.
Noun,men,男人們,The men help build the new house.
Noun,mother,母親,My mother sings soft moon songs for me.
Noun,neighbor,鄰居,Our friendly neighbor waves hello every morning.
Noun,people,人們,People wave at the colorful parade today.
Noun,person,人,Each person gets a turn to play.
Noun,sister,姐妹,My sister paints pink dreams on paper.
Noun,woman,女人,The woman waters the pretty flowers now.
Noun,women,女人們,The women talk and laugh together happily.
Noun,mom,媽媽,My mom hugs me like warm sunshine.
Noun,dad,爸爸,My dad lifts me high like the sky.
Noun,parents,父母,My parents cheer when I try my best.
Noun,grandma,奶奶/外婆,Grandma tells moonlight stories before bed.
Noun,grandpa,爺爺/外公,Grandpa grows tomatoes in the sunny yard.
Noun,grandmother,祖母/外婆,My grandmother knits a soft blue scarf.
Noun,grandfather,祖父/外公,My grandfather plays a sweet song for me.
Noun,aunt,阿姨/姑姑,My aunt makes funny animal voices for me.
Noun,uncle,叔叔/舅舅,My uncle builds a cardboard rocket with me.
Noun,cousin,表兄弟姊妹/堂兄弟姊妹,My cousin and I race leaves in rain.
=== 20. 感官動作 ===,,,
Verb,feel,感覺,I feel the earth moving beneath my dancing feet.
Verb,hear,聽到,I hear the bell ring at noon.
Verb,listen,聽,I listen to the teacher read now.
Verb,listen,聆聽,I listen carefully to the teacher's important words.
Verb,look,看/樣子,Look! A tiny bug is dancing now.
Verb Phrase,look at,看著,Look at the big blue whale swim.
Verb,see,看見,I see a rainbow over our house.
Noun,smell,氣味,The smell of soup makes me hungry.
Verb,smell,聞,Stop and smell the roses - they're nice and free.
Noun,taste,味道,The taste of mango is so sweet.
Verb,taste,嚐,I taste adventures on my tongue when eating.
Verb,watch,觀看,We watch a snail cross the path.
=== 21. 口語動作 ===,,,
Verb,answer,回答,The echo answers back when I shout loud.
Noun,answer,答案,The answer was hidden inside the cookie waiting!
Verb,ask,問,I ask the teacher for some help.
Verb,call,呼叫/打電話,When I call the butterflies they come visit me.
Verb,chat,聊天,I chat with my friends about our day.
Noun,cry,哭泣,A cry can bring a gentle hug.
Noun,laugh,笑聲,Her laugh sounds like ringing bells now.
Verb,laugh,大笑,We laugh loudly at silly funny jokes.
Verb,reply,回答,I reply quickly when the teacher asks a question.
Verb,say,說,I say good morning to the bird.
Verb,scream,尖叫,We scream on the fast fun slide.
Verb,shout,大喊,I shout hooray for my team!
Verb,sing,唱歌,Birds sing in the tall green tree.
Noun,smile,微笑,Your smile makes my day so bright.
Noun,speak,說話,Actions speak louder than words but kindness speaks best.
Verb,talk,說話,We talk about our pets at circle time.
Verb,tell,告訴,Please tell me a bedtime story now.
Verb,whisper,低語,We whisper secrets in the dark room.
=== 22. 思考與想像 ===,,,
Verb,believe,相信,Believing in yourself gives you wings to fly higher!
Noun,dream,夢,I had a dream about flying high.
Verb,dream,做夢,"When I dream, I visit magical kingdoms full of fun!"
Verb,forget,忘記,"Sometimes I forget things, and they float away like clouds!"
Verb,guess,猜測,Guessing is like reaching into a mystery bag for a surprise!
Verb,hope,希望,Hope is like a tiny star that keeps shining.
Noun,idea,想法,His brilliant idea was so bright it lit the room.
Verb,imagine,想像,I imagine I can fly like a bird.
Verb,know,知道,I know my name and my age.
Verb,pretend,假裝,Pretending turns ordinary days into extraordinary adventures with dragons!
Noun,question,問題,I have a question about the story.
Verb,remember,記得,I remember happy moments like collecting precious gem memories.
Verb,think,想,I think the cloud is a big ship.
Verb,think,思考,I think the clouds are having fun today.
Verb,wish,希望/許願,Every wish is a little seed that might grow!
Noun,wish,願望,My birthday wish is for world peace and happiness.
Verb,wonder,想知道,I wonder what's inside that mysterious wrapped box.
=== 23. 創造與建造 ===,,,
Verb,build,建造/建立,We build a castle with blocks.
Verb,create,創造,We create art from recycled things we find.
Verb,dance,跳舞,Leaves dance in the fall cool wind.
Noun,dance,舞蹈,The dance at school was so fun.
Verb,invent,發明,I want to invent a machine that flies.
Verb,make,製作/做,We make a tower with colorful blocks.
=== 24. 日常活動 ===,,,
Noun,bath,洗澡,Bath time is fun with rubber ducky toys.
Noun,brush,刷子/梳子,I brush my hair before going to school.
Verb,brush,刷/梳,I brush my teeth to keep them shiny.
Adjective,clean,乾淨的,My hands are clean after I use soap.
Verb,clean,清潔,I clean my desk before art time.
Noun,exercise,運動/練習,Daily exercise keeps our bodies strong and healthy.
Noun,nap,小睡,A short nap helps me feel fresh again.
Verb,practice,練習,I practice piano every day after school time.
Noun,rest,休息,I rest under a shady green tree.
Noun,sleep,睡覺,Good sleep helps my brain grow smart.
Verb,try,嘗試,I try again and do much better.
Verb Phrase,wake up,醒來,I wake up when the sun shines.
Verb,wash,清洗,I wash my hands with soapy bubbles.
Noun,work,工作/勞動,Building a fort is serious fun work.
Verb,yawn,打哈欠,I yawn when it's time for bed now.
=== 25. 互動行為 ===,,,
Verb,borrow,借,May I borrow your red crayon for a moment?
Verb,fight,打架/戰鬥,Friends should talk not fight with words.
Verb,follow,跟隨,I follow the path that leads to home.
Verb,help,幫助,I help my friend tie their shoes.
Verb,join,加入,Please join us for a fun game outside.
Verb,lead,領導,The teacher leads us on a nature walk.
Verb,lend,借出,I lend my book to my friend today.
Verb,meet,遇見/見面,I meet my friends at the park.
Verb,obey,服從,I obey my parents because they keep me safe.
Verb,return,歸還,I always return the library book on time.
Verb,share,分享,I share my toys with my little brother.
Verb,trade,交換,Let's trade sandwiches at lunch time today.
Verb,visit,拜訪,We visit grandma every Sunday for lunch together.
=== 26. 改變狀態 ===,,,
Verb,attach,附上,I attach the string to my kite carefully.
Verb,break,打破,I break the cookie in two halves.
Verb,change,改變,Caterpillars change into butterflies wearing bright wings.
Noun,change,零錢,The cashier gives me change after I pay.
Verb,combine,結合,Combine red and blue to make purple color.
Verb,connect,連接,Connect the dots to see the hidden picture.
Verb,cut,切/剪,I cut the paper with safety scissors.
Verb,divide,分開,Let's divide the cookie into two equal pieces.
Verb,divide,除,Ten divided by two equals five exactly right.
Verb,fix,修理,I fix my toy with tape today.
Verb,grow,生長/成長,Dreams grow bigger every time we believe them.
Verb,mix,混合,I mix colors to make new ones.
Verb,paste,黏貼,I paste pictures in my scrapbook with glue.
Verb,rip,撕裂,I rip open the present on my birthday.
Verb,separate,分開,We separate the toys into different boxes.
Verb,split,分裂,We split the work so everyone helps out.
Verb,tear,撕破,Don't tear the page when you turn it.
Verb,turn,轉動/變成,Ordinary stones can turn into fun when believed.
Noun,turn,輪次,It's my turn to go down the slide.
=== 27. 尋找與發現 ===,,,
Verb,discover,發現,I discover a new bug hiding under a rock.
Verb,explore,探索,Let's explore the forest and find new things.
Verb,find,找到,I find a shiny pebble on the ground.
Verb Phrase,find out,發現,I find out new things every time I ask.
Verb,hide,躲藏,I hide behind the long curtain now.
Verb,hide,隱藏,I hide the surprise gift under my bed.
Verb Phrase,look for,尋找,We look for everyday fun hiding in plain sight.
Verb,lose,失去/丟失,I lose my hat at the park.
Verb,lose,輸,It's okay to lose as long as we tried.
Verb,search,尋找,We search the yard for eggs today.
Verb,seek,尋找 (特指),I seek my socks under the bed.
=== 28. 情緒與感受 ===,,,
Adjective,angry,生氣的,I get angry when my blocks fall.
Adjective,ashamed,羞愧的,I feel ashamed when I do something wrong.
Adjective,bored,無聊的,I feel bored when there's nothing to do.
Adjective,brave,勇敢的,The brave kid tries new fun things.
Adjective,calm,冷靜的,Deep breaths help me feel calm and peaceful.
Adjective,confused,困惑的,I feel confused when math problems are hard.
Adjective,curious,好奇的,Curious minds ask lots of questions about everything.
Adjective,excited,興奮的,I am excited for my big trip.
Noun,fear,害怕,Fear fades when you hold my hand.
Adjective,full,滿的/飽的,I am full after eating the soup.
Adjective,happy,快樂的,I feel happy when you smile at me.
Verb,hate,恨/不喜歡,Nobody really hates rainy days - they're fun!
Adjective,hungry,飢餓的,I am hungry before dinner comes.
Verb,hurt,傷害/疼痛,My knee hurts when I fall down.
Verb,hurt,受傷,I hurt my elbow when I fell down.
Adjective,ill,生病的,When I'm ill I stay home and rest.
Adjective,interested,有興趣的,I'm interested in learning about space and stars.
Adjective,jealous,嫉妒的,I feel jealous when my friend gets toys.
Noun,joy,快樂/歡樂,Joy jumps in my heart every day.
Verb,like,喜歡,I like to splash in puddles after rain.
Adjective,lonely,孤單的,I feel lonely when no one plays with me.
Noun,love,愛,Love fills our home with bright light.
Verb,need,需要,I need water after a long run.
Noun,need,需求,All I need is a hug right now.
Adjective,nervous,緊張的,I feel nervous before the big show starts.
Noun,pain,疼痛,The pain goes away when mom kisses it.
Adjective,proud,驕傲的,I feel proud when I help others succeed.
Adjective,relaxed,放鬆的,I feel relaxed when I listen to music.
Adjective,sad,難過的,I feel sad when my toys break.
Adjective,sad,悲傷的,The small cloud looks sad when it starts to rain.
Noun,sadness,悲傷,Sadness leaves when friends come over now.
Adjective,scared,害怕的,I feel scared in the very dark.
Adjective,shocked,震驚的,I was shocked when I saw the elephant.
Adjective,sick,生病的,When I'm sick mom makes me feel better.
Adjective,sleepy,想睡的,I feel sleepy when bedtime stories start now.
Adjective,sore,痛的,My legs are sore after running all day.
Adjective,surprised,驚訝的,I'm surprised that you remembered my birthday today.
Adjective,thirsty,口渴的,I am thirsty after playing soccer.
Adjective,tired,累的,I feel tired after the long run.
Adjective,tired,疲倦的,I feel tired after playing all day outside.
Verb,want,渴望/想要,I want a big hug from mom now.
Adjective,worried,擔心的,I feel worried when mom is late home.
=== 29. 性質形容詞 ===,,,
Adjective,bad,壞的/糟糕的,Lying is bad so I tell truth.
Adjective,beautiful,美麗的,The butterfly is beautiful and colorful.
Adjective,busy,忙碌的,The busy bee flies from flower to flower.
Adjective,clever,聰明的,The clever cat finds the hidden treat.
Adjective,comfortable,舒適的,This chair is comfortable for reading long books.
Adjective,dangerous,危險的,"Playing near the cliff is dangerous, so be careful."
Adjective,dirty,髒的,My shoes are dirty after playing in the mud.
Verb,dirty,弄髒,I dirty my shoes in the mud.
Adjective,easy,簡單的,This puzzle is easy for us now.
Adjective,easy,容易的,This puzzle is as easy as catching falling leaves!
Adjective,funny,有趣的/滑稽的,The clown is funny and makes me laugh.
Adjective,good,好的,Sharing is a good thing to do.
Adjective,hard,困難的/堅硬的,Math is hard but we try hard.
Adjective,kind,善良的/種類,A kind word makes hearts feel warm.
Adjective,lazy,懶惰的,The lazy cat naps all day in the sun.
Adjective,loud,大聲的,The drum is loud and makes noise.
Verb,mean,意思是/刻薄的,What does this word mean to you?
Adjective,new,新的,I wear my new shoes to school.
Adjective,noisy,吵鬧的,The noisy birds wake me up in the morning.
Adjective,old,舊的/老的,I find an old coin in the sand.
Adjective,pretty,漂亮的,The flowers are pretty and smell nice.
Adjective,quiet,安靜的,The library is quiet and cozy inside.
Adjective,rough,粗糙的,The tree bark is rough to touch.
Adjective,safe,安全的,I feel safe when you hold my hand.
Adjective,silent,安靜的,The cat walks silently like a sneaky ninja.
Adjective,silly,傻傻的/滑稽的,My silly hat has a big feather.
Adjective,slippery,滑的,The floor is slippery after the rain.
Adjective,smooth,平滑的,The pebble feels smooth in my hand.
Adjective,soft,柔軟的,The pillow is soft and so fluffy.
Adjective,special,特別的,Today is a special day for me.
Adjective,sticky,黏的,My hands are sticky from sweet honey.
Adjective,strange,奇怪的,That strange noise came from the tree.
Adjective,wise,聰明的/有智慧的,The wise owl knows when storms will come by listening.
Adjective,young,年輕的/小的,Young hearts stay curious asking why about everything.
=== 3. 身體部位 ===,,,
Noun,arm,手臂,My arms stretch wide enough to hug the world.
Noun,back,背部,My back is strong enough to carry things.
Noun,belly,腹部/肚子,My belly button is my very first mark.
Noun,blood,血液,My blood carries oxygen like tiny trucks working fast.
Noun,body,身體,My body is a machine that runs on food.
Noun,bone,骨頭,Bones are the frame that holds up my body.
Noun,ear,耳朵,My ear hears a soft bird song.
Noun,elbow,手肘,I bump my elbow on the table edge.
Noun,eye,眼睛,My eye spots a tiny crawling ant.
Noun,face,臉,Every face tells a unique story without words.
Noun,feet,腳 (複數),My feet run fast on the grass.
Noun,finger,手指,Ten fingers - ten chances to point toward dreams.
Noun,foot,腳,I tap my foot to the fun music.
Noun,hair,頭髮,My hair has a mind of its own dancing.
Noun,hand,手,My hand holds yours very tight today.
Verb,hand,給予/遞給,Please hand me that star I need.
Noun,head,頭,I nod my head to say yes happily.
Noun,heart,心臟/心,My heart beats fast when I run.
Noun,knee,膝蓋,I scrape my knee when I fall.
Noun,leg,腿,These legs have carried me on many trips.
Noun,mouth,嘴巴,My mouth blows big soapy bubbles.
Noun,neck,脖子,I wear a scarf around my neck.
Noun,nose,鼻子,My nose smells fresh baking bread.
